pulse.width,FSC,F692.4,F580.3,F530.4,SSC,TIME
24768,37665,60322,12101,11713,54441,56755
13248,35595,22190,37892,52150,39150,56755
13696,37469,33621,120,148,38330,56755
5632,10008,187,122,137,10881,56755
10816,24981,186,120,139,30738,56755
1216,5709,184,120,134,15292,56755
12928,32284,36596,120,136,34795,56755
13504,36196,21814,37875,52495,39355,56755
9856,19498,15946,20872,1330,20422,56755
11392,23691,186,119,134,5964,56755
13376,36118,22190,38362,52614,40056,56755
9472,18300,189,130,187,3911,56755
14976,45621,42525,123,140,38447,56755
9728,19728,14764,17120,135,21980,56755
12544,30372,464,116,132,41688,56755
15296,35677,184,125,136,26253,56756
4736,7664,181,122,139,18741,56756
8640,14504,10963,15544,139,17711,56756
13696,36329,21886,38336,52721,40144,56756
8256,14734,189,115,153,37385,56756
12928,34584,25381,117,133,34219,56756
8320,13074,198,122,135,754,56756
10496,20946,183,120,135,32494,56756
11392,26329,19469,20999,937,25070,56756
12928,35027,21297,37520,51769,39533,56756
13440,36721,22830,38562,53136,39974,56756
13568,35510,32036,34803,14996,33591,56756
13312,35992,22570,38266,52568,40021,56756
13248,36055,22642,38342,52666,40009,56756
16064,49019,44118,1449,3748,47109,56756
11648,27124,21349,23972,3882,27575,56756
10688,23322,186,121,139,47247,56756
13632,36424,21802,38460,52885,39251,56756
9984,20359,186,119,132,14594,56756
12096,29721,4000,118,137,33995,56756
13312,35943,21743,37743,52274,40129,56757
15552,44714,9349,127,138,39484,56757
13312,35313,20780,37408,51646,39651,56757
5312,8428,184,120,140,25260,56757
8320,15408,184,119,137,25137,56757
13504,36745,22233,38647,53012,40531,56757
12160,31026,27881,118,134,26071,56757
7232,12404,2732,119,140,24450,56757
1344,5831,185,120,139,190,56757
13504,36378,21864,38292,52667,39726,56757
12672,27077,187,120,145,8004,56757
13952,38128,25748,42903,57051,44743,56757
13440,36351,21745,38226,52550,39595,56757
11648,26390,3977,120,136,43462,56757
8064,13856,184,125,137,24110,56757
1984,6597,180,120,141,8513,56757
8640,16958,190,121,134,22884,56757
13696,36295,22300,38251,52644,39330,56757
8064,14506,188,119,135,30708,56757
18112,16527,184,119,135,45966,56757
10752,23478,177,112,128,23945,56757
13376,35682,2281,124,136,35812,56757
15552,41030,187,123,135,32352,56757
12288,29896,183,116,134,16802,56757
13440,36477,22588,38477,52843,39858,56757
6656,12266,186,121,144,23258,56757
13312,35716,21297,38105,52464,40029,56757
4736,8186,188,120,137,22178,56758
2496,6452,188,119,136,11492,56758
12032,32169,30837,121,133,32614,56758
5184,8480,246,119,133,12631,56758
13248,35614,21525,37740,52121,39074,56758
13888,36558,22098,38465,52902,41361,56758
10112,20956,16116,18366,140,20574,56758
10304,22283,187,122,133,31624,56758
13312,36208,21651,38212,52610,40246,56758
13504,36157,22511,38191,52579,39710,56758
12160,28415,189,121,132,21242,56758
13504,36202,22991,38323,52753,39841,56758
4800,9092,186,130,182,194,56758
13504,36455,22075,38216,52635,40593,56758
10944,23020,17234,20994,3851,23885,56758
2176,6596,184,138,133,16267,56758
13376,35900,22693,37962,52454,40673,56758
10752,21639,186,121,134,17261,56758
10752,22509,186,122,135,21890,56758
13504,36407,22576,38241,52696,40715,56758
11712,26830,194,213,264,46343,56758
8064,12369,191,124,135,8214,56758
12608,32531,29173,122,138,28580,56758
9728,18572,189,121,136,19558,56758
11904,28617,190,122,138,23927,56758
13312,32983,13660,120,138,39094,56759
13376,35955,21486,37961,52357,40661,56759
15488,44738,46055,1018,1123,40348,56759
3712,7517,184,118,137,22311,56759
13184,35606,22553,37749,52117,39206,56759
12928,35047,20812,37496,51927,39331,56759
9344,17618,184,123,138,24673,56759
8512,19294,189,119,136,21233,56759
13120,35853,21564,38389,52683,40361,56759
13184,35651,21433,37751,52271,39974,56759
34624,41659,57609,11914,10851,56266,56759
13440,36033,264,120,138,34530,56759
6464,10672,186,119,136,24099,56759
1408,6072,756,119,139,19363,56759
4544,8518,185,122,137,22145,56759
10240,21424,16422,21475,476,21366,56759
12864,35250,22126,37662,52046,39728,56759
11968,26869,20475,24091,4285,23333,56759
9792,19238,188,119,135,29640,56759
5120,8489,186,121,138,31333,56760
10368,23310,186,117,135,25299,56760
7424,12199,184,119,137,49848,56760
1600,6006,182,118,137,17593,56760
10432,20686,187,120,138,25985,56760
1920,6826,185,120,135,23973,56760
14848,43226,41131,121,142,37023,56760
12544,31892,29184,123,136,28621,56760
4992,9571,183,120,138,1316,56760
13184,34579,32373,124,137,34308,56760
1408,6305,222,125,138,12546,56760
10496,21555,186,117,140,22195,56760
2112,6403,185,121,135,17014,56760
3840,7379,186,115,141,19994,56760
11520,25766,24372,28555,9932,31086,56760
6144,10546,216,158,140,26071,56760
8192,13904,191,118,134,20740,56760
7424,12918,185,123,140,16623,56760
8768,15136,182,116,134,191,56760
10624,22633,18114,20025,192,25199,56760
13376,35719,22184,37852,52203,39000,56760
4672,8004,186,141,203,197,56760
5568,10552,186,119,134,22074,56760
13504,36350,22222,38207,52729,40709,56760
9536,16124,182,120,137,22168,56761
10752,23732,184,117,137,25124,56761
4224,8090,183,122,137,24571,56761
13120,31677,189,118,135,13963,56761
10432,17988,184,122,136,192,56761
12096,29896,23239,26158,3364,23900,56761
13440,36382,22773,38355,52850,40555,56761
14272,37308,184,129,187,48541,56761
10304,22207,16724,20471,1541,21414,56761
7360,11417,188,120,139,19942,56761
11072,24702,4508,121,132,34697,56761
13056,35861,21657,37964,52364,39702,56761
13056,35190,21982,37756,52058,38952,56761
3328,6393,185,148,201,22120,56761
13696,36480,22462,38615,52992,40922,56761
8512,15331,13519,16394,185,19462,56761
12160,31398,26336,29106,10480,33590,56761
10432,22232,184,120,136,23281,56761
13248,35641,21673,37779,52137,39227,56761
1600,5706,189,120,136,16462,56761
13376,36149,22229,38060,52375,40122,56761
3712,7342,184,143,199,17439,56761
4480,9076,183,119,138,19374,56761
22080,37217,57407,8348,9322,55701,56762
11712,28050,256,123,136,38667,56762
13568,36394,21952,38169,52682,40039,56762
13376,35722,21678,37849,52287,38772,56762
6848,12560,188,120,134,32834,56762
15744,47579,27672,1048,139,48784,56762
13376,36274,21695,38164,52561,39783,56762
7872,14535,4916,136,190,23384,56762
16768,46497,47423,2903,2952,56808,56762
6400,9533,186,117,136,18601,56762
2944,6307,185,120,135,20179,56762
13184,35226,22155,37972,52181,40141,56762
13184,35340,21773,37788,52201,40016,56762
6208,10938,184,118,137,18921,56762
13312,35646,21711,37818,52200,39837,56762
10432,21501,189,120,139,30950,56762
18432,32846,52636,4510,5702,55141,56762
6016,11402,213,120,134,8773,56762
13632,36382,21596,38219,52713,41028,56762
6336,10610,187,122,145,24619,56762
4992,8661,189,116,133,15339,56762
4096,8387,184,121,138,16948,56762
6656,11542,184,121,132,20338,56762
11008,22800,188,121,135,6999,56762
13312,35390,186,121,136,36597,56762
14144,37261,46188,120,1522,47781,56762
13312,35472,21137,37597,51964,38920,56763
13568,36582,22978,38560,52904,40178,56763
12928,34455,21584,37157,51345,38865,56763
4160,7241,184,122,134,24597,56763
10624,20930,188,120,136,6403,56763
8704,15949,186,121,133,30821,56763
8192,13977,187,117,136,23218,56763
12992,35166,22504,37717,51952,39343,56763
9088,16873,186,118,137,8865,56763
11072,24355,21294,25452,4067,18562,56763
13312,35861,22472,38002,52392,40191,56763
11840,28227,24490,27250,9336,46089,56763
7168,12051,188,117,138,26145,56763
13568,36965,34186,120,137,36381,56763
13440,35997,21054,37800,52324,39381,56763
1088,5367,1073,120,133,17882,56763
13440,36225,21794,38249,52632,40469,56763
13568,36487,21593,38489,52967,40660,56763
11776,25601,9149,150,206,33561,56763
13376,24651,187,123,139,193,56763
16256,49232,41574,126,1308,45255,56763
1344,6112,183,119,139,8741,56764
12992,35812,21880,38073,52299,40061,56764
13696,38005,26887,43134,57252,44099,56764
12224,33656,187,121,134,38885,56764
13440,36327,22913,38255,52792,40414,56764
10368,21121,20656,23767,3621,21209,56764
14144,38185,26756,43037,57150,43554,56764
4352,7830,185,119,138,5150,56764
13184,35337,21782,37716,52171,39581,56764
5760,10296,188,175,229,26212,56764
13120,34685,27145,29032,9810,29827,56764
8640,15195,185,122,140,22356,56764
14080,38913,31384,119,139,35436,56764
12608,31966,24657,26204,6240,24971,56764
13440,36108,22289,38313,52647,39804,56764
13120,35556,22322,38093,52428,39874,56764
13504,36008,22356,37746,52235,40628,56764
4736,7286,185,119,138,23622,56764
8320,14214,186,119,139,1804,56765
15424,45032,13678,122,136,45256,56765
6080,9971,185,120,135,26781,56765
8064,12662,185,118,134,189,56765
13440,36627,22462,38376,52980,41160,56765
13440,36276,21638,38035,52456,39388,56765
1472,6251,183,119,136,18429,56765
9920,19503,13468,16050,137,19920,56765
7488,12345,186,119,135,20087,56765
3584,8275,182,122,133,15858,56765
